query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;l_input_rows;r_input_rows;peak_mem;output_rows;child_plan
2;24;2;4;96;96;HashBuilderOperator;27.760;100;0;131072;0;22
2;25;2;3;96;96;ExchangeOperator;472.452;11474023;0;22609920;11474023;37
2;26;2;3;96;96;FilterProject;24.950;11474023;0;0;11474023;25
2;27;2;2;96;96;LocalExchangeSinkOperator;157.557;11474023;0;0;11474023;8
2;28;3;0;96;96;TableScanOperator;6580.512;15000000;0;23034624;15000000;
2;29;3;0;96;96;PartitionedOutput;10443.000;15000000;0;17229056;15000000;28
2;30;4;2;96;96;FilterProject;17.621;22945256;0;0;22945256;38
2;31;4;1;96;96;LocalExchangeSinkOperator;61.770;22945256;0;0;22945256;32
2;32;4;2;96;96;LocalExchangeSourceOperator;1020.890;22945256;0;5224448;22945256;30
2;33;4;1;96;96;HashBuilderOperator;26760.820;22945256;0;82887168;0;31
2;34;4;0;96;96;TableScanOperator;38250.226;148067261;0;112785728;148067261;
2;35;4;0;96;96;FilterProject;2149.030;148067261;0;13056;148067261;34
2;36;4;0;96;96;LookupJoinOperator;9359.720;148067261;0;139264;11474023;33,35
2;37;4;0;96;96;PartitionedOutput;3530.310;11474023;0;1529856;11474023;36
2;38;4;2;96;96;ExchangeOperator;3510.238;22945256;0;21037056;22945256;41
2;39;5;0;96;96;TableScanOperator;12250.238;5736314;0;115613568;5736314;
2;40;5;0;96;96;FilterProject;325.850;5736314;0;4160;5736314;39
2;41;5;0;96;96;PartitionedOutput;485.580;5736314;0;1166016;5736314;40
2;42;6;0;24;96;TableScanOperator;5.514;25;0;26816;25;
2;43;6;0;24;96;PartitionedOutput;1.496;25;0;17344;25;42
3;0;0;0;1;8;MergeOperator;3310.000;3885517;0;53238153;3885517;7
3;1;0;0;1;8;ExplainAnalyzeOperator;5.132;3885517;0;0;1;0
3;2;0;0;1;8;TaskOutputOperator;0.097;1;0;0;1;1
3;3;1;1;8;8;ExchangeOperator;729.167;3885517;0;12173312;3885517;16
3;4;1;1;8;8;OrderBy;6636.000;3885517;0;162378816;3885517;3
3;5;1;0;4;8;LocalMerge;739.961;0;0;503808;3885517;6
3;6;1;1;8;8;CallbackSink;7.530;3885517;0;0;0;4
3;7;1;0;4;8;PartitionedOutput;1536.030;3885517;0;38103680;3885517;5
3;8;2;3;8;8;LocalExchangeSourceOperator;859.070;11474023;0;524288;11474023;26
3;9;2;2;8;8;HashBuilderOperator;4257.520;11474023;0;97587328;0;27
3;10;2;1;8;8;ExchangeOperator;2270.025;15000000;0;12353536;15000000;29
3;11;2;1;8;8;LookupJoinOperator;1880.570;15000000;0;1943552;11474023;9,10
3;12;2;0;8;8;LocalExchangeSinkOperator;80.814;3885534;0;0;3885534;19
3;13;2;1;8;8;LookupJoinOperator;602.060;11474023;0;231424;11474023;24,11
3;14;2;0;8;8;Aggregation;5646.040;3885534;0;139706368;3885517;12
3;15;2;1;8;8;FilterProject;286.830;11474023;0;12288;11474023;13
3;16;2;0;8;8;PartitionedOutput;1812.150;3885517;0;14264832;3885517;14
3;17;2;1;8;8;PartialAggregation;8055.180;11474023;0;109957120;3885534;15
3;18;2;1;8;8;FilterProject;38.270;3885534;0;0;3885534;17
3;19;2;1;8;8;LocalExchangeSourceOperator;753.090;3885534;0;616448;3885534;18
3;20;2;5;8;8;ExchangeOperator;0.297;100;0;1152;100;43
3;21;2;5;8;8;FilterProject;0.524;100;0;0;100;20
3;22;2;4;8;8;LocalExchangeSinkOperator;0.328;100;0;0;100;23
3;23;2;5;8;8;LocalExchangeSourceOperator;1.503;100;0;384;100;21
3;24;2;4;8;8;HashBuilderOperator;1.681;100;0;131072;0;22
3;25;2;3;8;8;ExchangeOperator;389.520;11474023;0;3407872;11474023;37
3;26;2;3;8;8;FilterProject;31.640;11474023;0;0;11474023;25
3;27;2;2;8;8;LocalExchangeSinkOperator;29.423;11474023;0;0;11474023;8
3;28;3;0;8;8;TableScanOperator;3090.022;15000000;0;45773312;15000000;
3;29;3;0;8;8;PartitionedOutput;6055.130;15000000;0;26756352;15000000;28
3;30;4;2;8;8;FilterProject;15.680;22945256;0;0;22945256;38
3;31;4;1;8;8;LocalExchangeSinkOperator;13.390;22945256;0;0;22945256;32
3;32;4;2;8;8;LocalExchangeSourceOperator;728.390;22945256;0;4194304;22945256;30
3;33;4;1;8;8;HashBuilderOperator;5950.000;22945256;0;169676928;0;31
3;34;4;0;8;8;TableScanOperator;8340.018;148067261;0;17061696;148067261;
3;35;4;0;8;8;FilterProject;1461.640;148067261;0;13056;148067261;34
3;36;4;0;8;8;LookupJoinOperator;4850.080;148067261;0;139264;11474023;33,35
3;37;4;0;8;8;PartitionedOutput;1726.480;11474023;0;1562624;11474023;36
3;38;4;2;8;8;ExchangeOperator;378.550;22945256;0;17432576;22945256;41
3;39;5;0;8;8;TableScanOperator;2150.018;5736314;0;15232704;5736314;
