query_num;query_id;plan_id;stage_id;pipeline_id;dop;query_dop;operator_type;execution_time;add_input_wall_ms;get_output_wall_ms;finish_wall_ms;blocked_wall_ms;is_blocked_wall_ms;l_input_rows;r_input_rows;input_rows;raw_input_rows;output_rows;input_bytes;raw_input_bytes;output_bytes;output_per_input_rows;output_per_input_bytes;bytes_per_input_row;bytes_per_output_row;blocked_ratio;add_input_calls;get_output_calls;finish_calls;total_drivers;peak_mem;user_mem;revocable_mem;system_mem;spilled_bytes;physical_written_bytes;build_keys;null_build_keys;probe_keys;null_probe_keys;input_avg_rows_per_call;input_var_proxy;child_count;is_leaf;is_exchange_like;is_join;child_plan;execution_time_per_dop
10;1;15;2;1;64;64;FilterProject;5.65062;28.580;301.040;32.020;0.000;301.040;11350694;0;11350694;0;11350694;6050793325;0;5901390632;1.000000;0.975309;533.076949;519.914521;0.000000;11618;24117;12562;64;12288;0;0;0;0;0;0;0;0;0;976.992081;2771431331.410163;1;0;0;0;13;5.65062
10;1;16;2;0;64;64;PartitionedOutput;56.8328;145.600;3430.000;61.700;8160.000;3430.000;3853866;0;3853866;0;3853866;1114224739;0;699789364;1.000000;0.628050;289.118703;181.581135;0.691684;435;19236;19300;64;9828864;195125248;0;0;0;0;0;0;0;0;8859.462069;8457306979.825573;1;0;0;0;14;56.8328
10;1;17;2;1;64;64;PartialAggregation;189.415;10810.000;1280.000;32.530;0.000;1280.000;11350694;0;11350694;0;3853887;5901390632;0;1431529792;0.339529;0.242575;519.914521;371.450899;0.000000;11618;14785;12627;64;61857920;504201216;0;0;0;0;0;0;0;0;976.992081;2771431331.410163;1;0;0;0;15;189.415
10;1;18;2;1;64;64;FilterProject;0.559531;5.650;20.750;9.410;0.000;20.750;3853887;0;3853887;0;3853887;1431529792;0;1431529792;1.000000;1.000000;371.450899;371.450899;0.000000;2222;5455;3297;64;0;0;0;0;0;0;0;0;0;0;1734.422592;1668059365.565340;1;0;0;0;17;0.559531
10;1;19;2;1;64;64;LocalExchangeSourceOperator;21.0972;1330.000;9.940;10.280;474.990;9.940;3853887;0;3853887;0;3853887;1431529792;0;1431529792;1.000000;1.000000;371.450899;371.450899;0.260239;2222;3297;3361;64;432640;5802368;0;0;0;0;0;0;0;0;1734.422592;1668059365.565340;1;0;1;0;18;21.0972
10;1;20;2;5;64;64;ExchangeOperator;0.0102656;0.000;0.469;0.188;635.150;0.469;100;0;100;100;100;3456;1788;3456;1.000000;1.000000;34.560000;34.560000;0.998966;0;68;64;64;1152;4608;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;43;0.0102656
10;1;21;2;5;64;64;FilterProject;0.0346719;0.039;1.000;1.180;0.000;1.000;100;0;100;0;100;3456;0;3456;1.000000;1.000000;34.560000;34.560000;0.000000;4;269;329;64;0;0;0;0;0;0;0;0;0;0;25.000000;0.000000;1;0;0;0;20;0.0346719
10;1;22;2;4;64;64;LocalExchangeSinkOperator;0.0271719;0.000;1.570;0.169;972.320;1.570;100;0;100;0;100;3408;0;3408;1.000000;1.000000;34.080000;34.080000;0.998214;0;232;64;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;23;0.0271719
10;1;23;2;5;64;64;LocalExchangeSourceOperator;0.32125;1.690;1.220;17.650;0.000;1.220;100;0;100;0;100;3456;0;3456;1.000000;1.000000;34.560000;34.560000;0.000000;4;329;393;64;2048;8192;0;0;0;0;0;0;0;0;25.000000;0.000000;1;0;1;0;21;0.32125
10;1;24;2;4;64;64;HashBuilderOperator;0.159188;0.988;1.070;8.130;87.060;1.070;100;0;100;0;0;3408;0;0;0.000000;0.000000;34.080000;0.000000;0.895239;52;296;360;64;131072;3948544;0;0;0;0;100;0;0;0;1.923077;44.378698;1;0;0;0;22;0.159188
10;1;25;2;3;64;64;ExchangeOperator;5.44394;0.000;348.020;0.392;66000.000;348.020;11350694;0;11350694;11350694;11350694;350395041;272520632;350395041;1.000000;1.000000;30.869922;30.869922;0.994749;0;609;64;64;15597568;36765696;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;37;5.44394
10;1;26;2;3;64;64;FilterProject;0.306719;1.820;11.850;5.960;0.000;11.850;11350694;0;11350694;0;11350694;350395041;0;350395041;1.000000;1.000000;30.869922;30.869922;0.000000;545;2372;1891;64;0;0;0;0;0;0;0;0;0;0;20826.961468;58666382164.965492;1;0;0;0;25;0.306719
10;1;27;2;2;64;64;LocalExchangeSinkOperator;1.64227;0.000;104.700;0.405;54090.000;104.700;11350694;0;11350694;0;11350694;350382237;0;350382237;1.000000;1.000000;30.868794;30.868794;0.998061;0;14866;64;64;0;0;0;0;0;0;0;0;0;0;0.000000;0.000000;1;0;1;0;8;1.64227
